ProductID,ProductName,Manufacturer,YearOfManufacture,ProductType,MaterialPlastic,MaterialMetal,MaterialGlass,RecyclabilityScore,CO2Emissions,RepairCost,RepairFrequency,RepairabilityScore,EndOfLifeOption,SupplierLocation
22,Product_22,CompanyC,2000,Electronics,45.13274336283185,1.7699115044247788,53.09734513274337,76,462.7619957302092,236.97035159572675,8,8,Hazardous,USA
23,Product_23,CompanyA,2006,Electronics,39.310344827586206,48.275862068965516,12.413793103448276,8,597.7189437965237,414.60859701934174,8,3,Hazardous,Sweden
24,Product_24,CompanyA,2007,Appliances,20.714285714285715,15.714285714285714,63.57142857142857,83,898.0818557692389,435.2090767424376,1,8,Hazardous,Germany
25,Product_25,CompanyA,2000,Appliances,23.52941176470588,23.52941176470588,52.94117647058824,92,653.9477287798148,928.6230209057172,7,2,Hazardous,Germany
26,Product_26,CompanyC,2013,Electronics,17.370892018779344,39.906103286384976,42.72300469483568,48,722.7784118384945,902.6038379890673,2,8,Hazardous,Sweden
27,Product_27,CompanyC,2013,Clothing,72.17391304347827,0.0,27.82608695652174,98,626.7469536845841,951.6661273381966,6,5,Recyclable,USA
28,Product_28,CompanyA,2009,Electronics,20.618556701030926,41.23711340206185,38.144329896907216,26,763.2182572425306,959.186807021173,5,10,Recyclable,Germany
29,Product_29,CompanyA,2013,Appliances,45.962732919254655,36.024844720496894,18.012422360248447,87,109.21427041399977,307.17041743019814,4,10,Recyclable,USA
30,Product_30,CompanyA,2002,Clothing,30.967741935483872,23.870967741935484,45.16129032258064,68,685.010675136405,432.0855347998406,8,7,Recyclable,Sweden
31,Product_31,CompanyB,2007,Appliances,30.22222222222222,40.88888888888889,28.888888888888886,63,567.9755935594414,908.1762713884339,9,3,Hazardous,Germany
32,Product_32,CompanyC,2019,Appliances,24.203821656050955,38.853503184713375,36.94267515923567,81,664.4183585594542,876.4321108531248,3,2,Hazardous,Germany
33,Product_33,CompanyC,2006,Appliances,41.21621621621622,50.67567567567568,8.108108108108109,28,704.3536486650453,874.7823294979788,3,8,Hazardous,Germany
34,Product_34,CompanyA,2010,Electronics,25.668449197860966,45.98930481283423,28.342245989304814,89,777.8771624332364,296.4109903119552,8,7,Recyclable,Germany
35,Product_35,CompanyC,2015,Electronics,27.358490566037734,39.15094339622642,33.490566037735846,95,159.10668527023168,967.3566334054941,1,5,Hazardous,Sweden
36,Product_36,CompanyA,2021,Electronics,23.026315789473685,51.31578947368421,25.657894736842106,32,702.8185060483038,339.73373828484404,8,9,Recyclable,Sweden
37,Product_37,CompanyC,2003,Appliances,31.03448275862069,20.689655172413794,48.275862068965516,26,450.2378976103118,242.88007702477037,8,8,Hazardous,Sweden
38,Product_38,CompanyA,2022,Clothing,19.327731092436977,73.94957983193278,6.722689075630252,60,589.5698946674519,658.8614171991574,2,4,Recyclable,China
39,Product_39,CompanyA,2011,Appliances,15.88235294117647,48.8235294117647,35.294117647058826,8,977.322140423482,154.20338157468242,0,5,Recyclable,China
40,Product_40,CompanyC,2011,Appliances,23.125,45.0,31.874999999999996,1,74.14244339135057,388.0158284770696,3,4,Hazardous,Germany
41,Product_41,CompanyA,2000,Electronics,56.06936416184971,22.54335260115607,21.38728323699422,68,958.2183536163978,580.4869193487121,5,8,Hazardous,Sweden
42,Product_42,CompanyC,2022,Clothing,46.06741573033708,22.47191011235955,31.46067415730337,63,663.4019534580603,946.5986970939059,8,5,Hazardous,China
43,Product_43,CompanyC,2004,Electronics,29.591836734693878,48.46938775510204,21.93877551020408,97,723.3671015041408,372.14053660517516,1,9,Recyclable,China
44,Product_44,CompanyB,2004,Electronics,41.935483870967744,45.622119815668206,12.442396313364055,10,300.7199942692081,491.2430277328453,9,5,Hazardous,China
45,Product_45,CompanyA,2011,Appliances,22.48062015503876,16.27906976744186,61.240310077519375,53,130.34695671180702,763.2872737347166,7,9,Hazardous,USA
46,Product_46,CompanyC,2007,Appliances,15.18987341772152,23.417721518987342,61.39240506329114,12,355.1405176463801,934.645815663748,2,8,Hazardous,Germany
47,Product_47,CompanyB,2019,Appliances,12.5,54.861111111111114,32.63888888888889,11,417.75250204397935,873.7852435641441,1,5,Hazardous,Sweden
48,Product_48,CompanyA,2020,Clothing,78.57142857142857,10.714285714285714,10.714285714285714,54,688.5096345304137,385.99352506363635,7,8,Recyclable,Sweden
49,Product_49,CompanyC,2017,Appliances,20.0,63.74999999999999,16.25,51,736.0291376552461,182.47430467825959,2,8,Recyclable,Sweden
50,Product_50,CompanyB,2001,Electronics,15.337423312883436,46.012269938650306,38.65030674846626,62,896.7644263940117,908.3880357200375,7,10,Recyclable,China
51,Product_51,CompanyC,2022,Appliances,10.362694300518134,43.005181347150256,46.63212435233161,62,392.973727732457,848.0428367420004,7,4,Recyclable,Sweden
52,Product_52,CompanyA,2009,Appliances,40.458015267175576,16.793893129770993,42.74809160305343,35,863.5827263639568,97.13654101991172,8,3,Hazardous,Sweden
53,Product_53,CompanyC,2016,Appliances,28.636363636363637,38.63636363636363,32.72727272727273,21,885.8826439633372,68.19355294491491,6,1,Recyclable,USA
54,Product_54,CompanyA,2012,Clothing,35.0,12.5,52.5,35,698.9180319542706,296.0541866472681,7,5,Hazardous,USA
55,Product_55,CompanyA,2017,Clothing,23.076923076923077,0.0,76.92307692307693,36,962.8000555348607,506.9057684737174,0,6,Recyclable,Germany
56,Product_56,CompanyA,2020,Appliances,50.0,31.61764705882353,18.38235294117647,6,450.7828351857083,197.87840485324332,0,1,Hazardous,USA
57,Product_57,CompanyC,2016,Appliances,26.857142857142858,17.71428571428571,55.42857142857143,91,814.8696465598156,433.3656687924726,6,7,Recyclable,China
58,Product_58,CompanyB,2011,Clothing,57.71812080536913,2.684563758389262,39.59731543624161,70,122.81032435926255,673.0221012713598,6,4,Hazardous,Germany
59,Product_59,CompanyA,2003,Appliances,8.284023668639055,37.8698224852071,53.84615384615385,10,716.8410589261063,886.6823856736318,5,8,Recyclable,Sweden
60,Product_60,CompanyC,2018,Appliances,19.318181818181817,44.31818181818182,36.36363636363637,93,234.49960318301788,65.33401063601133,0,7,Recyclable,China
61,Product_61,CompanyB,2007,Electronics,8.653846153846153,34.61538461538461,56.730769230769226,13,274.34874992157773,998.5498991350894,4,4,Hazardous,Germany
62,Product_62,CompanyA,2018,Electronics,14.09090909090909,42.72727272727273,43.18181818181818,57,141.49621687251644,717.9921611645815,6,4,Hazardous,USA
63,Product_63,CompanyA,2007,Clothing,45.36082474226804,38.659793814432994,15.979381443298967,84,827.3141618355638,710.31035833046,7,7,Recyclable,Sweden
64,Product_64,CompanyB,2019,Clothing,37.07865168539326,21.34831460674157,41.57303370786517,58,289.9984693903578,220.63320514276907,2,4,Recyclable,USA
65,Product_65,CompanyA,2010,Clothing,42.2680412371134,49.48453608247423,8.24742268041237,47,584.1280877635802,830.1492084368045,3,5,Hazardous,Germany
66,Product_66,CompanyC,2022,Appliances,27.27272727272727,49.494949494949495,23.232323232323232,20,411.0587601563478,83.98784274286896,9,6,Recyclable,Sweden
67,Product_67,CompanyA,2004,Clothing,18.58407079646018,42.92035398230089,38.49557522123894,55,746.5628668674117,817.3709365062481,6,6,Hazardous,Germany
68,Product_68,CompanyB,2009,Clothing,8.904109589041095,30.136986301369863,60.95890410958904,89,396.62150108714746,565.1106915943577,5,10,Hazardous,Germany
69,Product_69,CompanyC,2010,Electronics,44.09090909090909,38.18181818181819,17.727272727272727,28,711.4590290895914,242.4869225422912,2,4,Recyclable,USA
70,Product_70,CompanyB,2001,Appliances,39.5,36.5,24.0,6,680.6270989462478,172.10472080260627,6,10,Recyclable,China
71,Product_71,CompanyA,2018,Appliances,33.94495412844037,28.440366972477065,37.61467889908257,51,418.0450232461556,164.62598225727248,0,3,Hazardous,Germany
72,Product_72,CompanyC,2022,Electronics,37.68844221105528,18.592964824120603,43.71859296482412,3,92.10499162557062,844.0061381318937,5,1,Hazardous,USA
73,Product_73,CompanyB,2011,Electronics,13.333333333333334,32.121212121212125,54.54545454545454,8,880.9562710084766,576.249169966762,1,7,Recyclable,USA
74,Product_74,CompanyA,2013,Clothing,52.77777777777778,36.11111111111111,11.11111111111111,91,794.1121303473107,463.6801058092324,2,2,Hazardous,USA
75,Product_75,CompanyC,2017,Clothing,45.73170731707317,34.146341463414636,20.121951219512198,22,134.80498290760545,234.13145352008559,2,6,Recyclable,Sweden
76,Product_76,CompanyC,2002,Electronics,31.46551724137931,31.46551724137931,37.06896551724138,77,509.01581345717705,215.53801924571414,6,10,Recyclable,China
77,Product_77,CompanyC,2017,Clothing,70.1492537313433,25.37313432835821,4.477611940298507,48,516.332210606768,319.3470814979419,6,9,Hazardous,USA
78,Product_78,CompanyA,2018,Appliances,61.15702479338842,11.570247933884298,27.27272727272727,62,733.7214591248002,462.19710004918653,3,6,Hazardous,USA
79,Product_79,CompanyA,2022,Clothing,47.05882352941176,11.229946524064172,41.711229946524064,30,244.32332263340354,494.4511659222438,9,7,Hazardous,China
80,Product_80,CompanyC,2016,Appliances,11.538461538461538,33.33333333333333,55.12820512820513,70,901.78302875822,357.09038116616546,4,9,Recyclable,Germany
81,Product_81,CompanyC,2016,Appliances,34.22222222222222,32.88888888888889,32.88888888888889,12,563.916334128513,987.8208250564122,2,2,Hazardous,Germany
82,Product_82,CompanyA,2018,Clothing,67.64705882352942,25.0,7.352941176470589,87,236.91578018141107,449.2498469797402,5,7,Hazardous,USA
83,Product_83,CompanyB,2001,Electronics,82.6923076923077,17.307692307692307,0.0,51,798.5988708012707,296.25293877233537,0,1,Recyclable,USA
84,Product_84,CompanyB,2012,Clothing,52.25806451612903,7.741935483870968,40.0,59,468.5781179034721,298.18923294055946,3,10,Hazardous,Germany
85,Product_85,CompanyC,2012,Electronics,58.82352941176471,26.797385620915033,14.37908496732026,57,740.8504309393198,163.94754416837014,5,6,Recyclable,China
86,Product_86,CompanyB,2007,Clothing,53.70370370370371,42.592592592592595,3.7037037037037033,36,91.19557065570008,774.1530408590413,4,1,Recyclable,China
87,Product_87,CompanyB,2019,Electronics,17.51824817518248,18.97810218978102,63.503649635036496,27,711.8184388197618,574.4791412094345,7,3,Recyclable,Sweden
88,Product_88,CompanyC,2012,Appliances,16.911764705882355,28.676470588235293,54.41176470588235,69,241.73587864181587,497.6786751725272,8,6,Recyclable,China
89,Product_89,CompanyA,2004,Electronics,2.4193548387096775,33.064516129032256,64.51612903225806,48,714.2012204833417,500.64441675115523,5,3,Recyclable,USA
90,Product_90,CompanyA,2022,Clothing,40.845070422535215,46.009389671361504,13.145539906103288,8,409.9347811980927,971.3364587669926,2,1,Hazardous,Germany
91,Product_91,CompanyC,2016,Appliances,57.27272727272727,5.454545454545454,37.27272727272727,54,596.2470433668898,58.996955957232856,9,6,Hazardous,USA
92,Product_92,CompanyA,2021,Clothing,17.647058823529413,54.41176470588235,27.941176470588236,99,841.2675676543774,586.6135159803675,1,4,Recyclable,China
93,Product_93,CompanyC,2022,Appliances,47.02970297029702,26.237623762376238,26.732673267326735,56,728.5162715319885,874.2810386017474,2,3,Hazardous,Germany
94,Product_94,CompanyA,2015,Clothing,14.117647058823529,57.647058823529406,28.235294117647058,27,74.19096719771703,983.1547265776246,0,4,Recyclable,Sweden
95,Product_95,CompanyB,2004,Clothing,48.29931972789115,17.006802721088434,34.69387755102041,33,837.6025672933638,400.4754322315551,6,6,Hazardous,Germany
96,Product_96,CompanyB,2007,Clothing,42.331288343558285,41.717791411042946,15.950920245398773,22,207.37577555946217,418.8509832394479,1,10,Hazardous,China
97,Product_97,CompanyB,2003,Clothing,37.35408560311284,35.797665369649806,26.848249027237355,25,620.4284700934576,630.9862763265162,8,6,Hazardous,Sweden
98,Product_98,CompanyC,2019,Appliances,38.372093023255815,50.0,11.627906976744185,7,594.6253051586779,210.16641275474777,8,7,Hazardous,China
99,Product_99,CompanyB,2000,Appliances,46.733668341708544,7.537688442211055,45.7286432160804,65,324.83655605853806,307.24037138945533,4,9,Recyclable,Germany
100,Product_100,CompanyC,2015,Electronics,50.467289719626166,14.018691588785046,35.51401869158878,12,849.7617977604739,65.34271641208704,8,10,Hazardous,USA
101,Product_101,CompanyB,2018,Appliances,9.032258064516128,44.516129032258064,46.45161290322581,87,688.1331314293787,472.69517087637854,7,10,Hazardous,USA
102,Product_102,CompanyA,2022,Appliances,37.410071942446045,51.798561151079134,10.79136690647482,17,628.8275025587046,864.8511485370598,8,7,Recyclable,Germany
103,Product_103,CompanyB,2013,Appliances,8.75912408759124,20.437956204379564,70.8029197080292,75,850.3963644959981,220.13748961689865,6,7,Recyclable,Sweden
104,Product_104,CompanyC,2006,Electronics,60.0,25.71428571428571,14.285714285714285,44,849.9438171558252,267.9624791466417,3,10,Hazardous,China
105,Product_105,CompanyB,2005,Appliances,37.03703703703704,23.456790123456788,39.50617283950617,65,878.1255724377362,205.05864107741263,2,3,Recyclable,USA
106,Product_106,CompanyA,2016,Electronics,35.175879396984925,46.231155778894475,18.592964824120603,33,709.0124635697861,578.1796701222466,7,6,Recyclable,Germany
107,Product_107,CompanyA,2014,Clothing,35.96491228070175,42.10526315789473,21.929824561403507,79,110.41257523529615,789.5884452705969,0,6,Recyclable,Sweden
108,Product_108,CompanyA,2010,Appliances,39.58333333333333,26.041666666666668,34.375,48,690.737648102313,65.70009276047173,8,1,Recyclable,Sweden
109,Product_109,CompanyC,2014,Appliances,32.17821782178218,27.22772277227723,40.5940594059406,38,680.7758577592325,967.3523519708698,6,9,Hazardous,USA
110,Product_110,CompanyB,2013,Clothing,12.751677852348994,59.06040268456376,28.187919463087248,89,292.0966116352286,832.8966484640638,9,6,Hazardous,China
111,Product_111,CompanyA,2006,Clothing,18.803418803418804,41.02564102564102,40.17094017094017,65,216.44570504177048,69.17132915358692,8,4,Hazardous,China
112,Product_112,CompanyB,2002,Appliances,36.627906976744185,8.720930232558139,54.65116279069767,56,127.61981946316232,226.07514216793498,1,4,Recyclable,Germany
113,Product_113,CompanyA,2015,Electronics,44.60093896713615,21.5962441314554,33.80281690140845,25,215.92065770162733,867.3225592743976,7,6,Recyclable,USA
114,Product_114,CompanyA,2013,Clothing,27.586206896551722,52.87356321839081,19.54022988505747,86,791.6735974871018,758.373952911809,2,5,Hazardous,Sweden
115,Product_115,CompanyB,2006,Electronics,26.666666666666668,48.333333333333336,25.0,33,199.78773850699878,795.7550357535509,9,7,Recyclable,China
116,Product_116,CompanyC,2002,Electronics,5.88235294117647,43.529411764705884,50.588235294117645,4,339.7551534482894,75.42598602012872,3,5,Recyclable,USA
117,Product_117,CompanyA,2007,Electronics,9.947643979057592,46.07329842931937,43.97905759162304,48,839.7402580346462,354.95729474095964,5,5,Recyclable,China
118,Product_118,CompanyA,2000,Clothing,19.718309859154928,69.01408450704226,11.267605633802818,39,486.8815405569603,95.60314239509592,6,3,Recyclable,China
119,Product_119,CompanyB,2005,Electronics,48.0,46.666666666666664,5.333333333333334,2,142.6429807302584,648.9319671566619,2,7,Hazardous,Germany
120,Product_120,CompanyB,2011,Appliances,14.000000000000002,12.0,74.0,100,161.54023468829297,744.3191831893247,4,3,Recyclable,Sweden
121,Product_121,CompanyA,2009,Electronics,20.0,45.23809523809524,34.76190476190476,47,867.3958436946868,868.5788727671198,1,4,Recyclable,Germany
122,Product_122,CompanyB,2021,Clothing,36.36363636363637,12.727272727272727,50.90909090909091,94,850.4274663889286,554.4718145018011,5,4,Hazardous,USA
123,Product_123,CompanyB,2021,Clothing,61.40350877192983,1.7543859649122806,36.84210526315789,49,392.3615829189432,170.50060898731004,4,2,Hazardous,Germany
124,Product_124,CompanyC,2018,Appliances,28.333333333333332,66.66666666666666,5.0,32,872.2052816625296,645.7067099532771,5,5,Recyclable,USA
125,Product_125,CompanyC,2004,Clothing,4.026845637583892,51.006711409395976,44.966442953020135,52,331.3306516463382,592.3514176817934,1,3,Recyclable,Germany
126,Product_126,CompanyB,2013,Clothing,41.6,30.4,28.000000000000004,55,759.3725112697326,726.6424896180391,7,1,Hazardous,China
127,Product_127,CompanyC,2016,Electronics,34.84848484848485,30.303030303030305,34.84848484848485,64,265.9161428995485,949.5965167462228,1,10,Hazardous,China
128,Product_128,CompanyB,2002,Clothing,35.37735849056604,17.92452830188679,46.69811320754717,53,967.8085611668636,52.272258065057535,9,3,Recyclable,China
129,Product_129,CompanyC,2021,Clothing,47.93814432989691,46.391752577319586,5.670103092783505,97,906.5514229840841,78.64769125328891,0,4,Hazardous,Germany
130,Product_130,CompanyA,2010,Appliances,61.29032258064516,24.193548387096776,14.516129032258066,71,365.4304536101426,920.8910716534913,5,4,Hazardous,Germany
131,Product_131,CompanyB,2023,Electronics,35.04273504273504,29.059829059829063,35.8974358974359,9,747.6599988153558,558.0838923308529,0,6,Recyclable,China
132,Product_132,CompanyB,2021,Electronics,21.80094786729858,45.023696682464454,33.175355450236964,88,938.7523287527202,622.0631938784611,1,1,Recyclable,China
133,Product_133,CompanyC,2005,Electronics,26.573426573426573,4.895104895104895,68.53146853146853,77,548.3405547669004,998.7362737532981,9,1,Hazardous,China
134,Product_134,CompanyC,2020,Clothing,19.689119170984455,29.015544041450774,51.29533678756477,99,202.21633449321698,682.9721394089984,1,6,Recyclable,China
135,Product_135,CompanyA,2011,Clothing,31.25,41.964285714285715,26.785714285714285,50,705.4546383150031,329.90263097047324,8,4,Hazardous,USA
136,Product_136,CompanyC,2005,Electronics,46.52777777777778,11.805555555555555,41.66666666666667,7,253.6094207142862,361.90629798281793,1,2,Recyclable,Sweden
137,Product_137,CompanyA,2020,Clothing,26.011560693641616,41.61849710982659,32.369942196531795,93,118.83346055210767,247.82618904444334,0,9,Hazardous,Germany
138,Product_138,CompanyB,2008,Appliances,26.81818181818182,33.18181818181819,40.0,75,874.8191232667056,371.98410616038376,8,5,Recyclable,China
139,Product_139,CompanyC,2004,Clothing,17.901234567901234,40.123456790123456,41.9753086419753,34,976.1591943636141,116.5796458834809,0,1,Recyclable,Sweden
140,Product_140,CompanyA,2021,Clothing,41.02564102564102,53.84615384615385,5.128205128205128,9,746.9855160456741,148.70482504793142,9,5,Recyclable,Germany
141,Product_141,CompanyB,2005,Electronics,27.55102040816326,27.040816326530614,45.40816326530612,17,690.5885597311839,211.5844658421787,6,6,Hazardous,Germany
142,Product_142,CompanyA,2007,Appliances,52.513966480446925,32.402234636871505,15.083798882681565,48,450.0198985681074,131.23973867183395,4,10,Recyclable,USA
143,Product_143,CompanyA,2004,Appliances,15.591397849462366,43.54838709677419,40.86021505376344,65,211.7501133847315,397.8044562387509,1,1,Hazardous,Germany
144,Product_144,CompanyB,2006,Electronics,29.496402877697843,35.61151079136691,34.89208633093525,31,602.1603325236,495.29241749514676,6,10,Recyclable,China
145,Product_145,CompanyC,2014,Appliances,42.06896551724138,18.620689655172416,39.310344827586206,19,467.4790286123974,828.3272273205494,6,8,Recyclable,China
146,Product_146,CompanyB,2005,Electronics,3.787878787878788,59.09090909090909,37.121212121212125,45,376.8697003771159,322.06289290135265,8,6,Hazardous,China
147,Product_147,CompanyB,2019,Appliances,18.181818181818183,63.63636363636363,18.181818181818183,31,76.49317258173615,739.5821746377171,1,1,Hazardous,USA
148,Product_148,CompanyA,2003,Appliances,38.23529411764706,33.33333333333333,28.431372549019606,38,215.3388065946751,136.71699595222475,4,3,Hazardous,USA
149,Product_149,CompanyB,2009,Clothing,18.269230769230766,11.538461538461538,70.1923076923077,23,85.8660509810432,449.11571765578276,7,6,Hazardous,Germany
150,Product_150,CompanyC,2011,Electronics,31.140350877192986,36.84210526315789,32.01754385964912,65,457.5068536097728,318.05144293036074,7,3,Hazardous,China
151,Product_151,CompanyB,2004,Clothing,45.57823129251701,6.802721088435375,47.61904761904761,42,531.4826475682594,715.7222698535228,1,5,Hazardous,USA
152,Product_152,CompanyC,2006,Appliances,39.2,0.8,60.0,18,471.70817378996315,153.12584939542262,9,5,Hazardous,Sweden
153,Product_153,CompanyB,2010,Clothing,43.71584699453552,19.12568306010929,37.15846994535519,46,518.5191975653181,172.4986054240999,9,8,Recyclable,China
154,Product_154,CompanyA,2016,Clothing,32.52032520325203,31.300813008130078,36.17886178861789,57,692.2099945437085,811.1245533244335,7,3,Recyclable,Sweden
155,Product_155,CompanyA,2020,Clothing,38.31775700934579,22.429906542056074,39.25233644859813,6,763.4492125833772,574.3581138648844,8,1,Hazardous,Sweden
156,Product_156,CompanyB,2022,Appliances,65.88235294117646,11.76470588235294,22.35294117647059,68,176.7681344639164,601.8747479412805,7,4,Recyclable,China
157,Product_157,CompanyB,2010,Appliances,53.90070921985816,21.98581560283688,24.113475177304963,100,907.9393511716152,710.9191508021987,6,1,Recyclable,Sweden
158,Product_158,CompanyC,2002,Clothing,86.25,13.750000000000002,0.0,74,845.0669665599089,603.5668308699383,1,1,Recyclable,Sweden
159,Product_159,CompanyC,2016,Appliances,54.54545454545454,37.06293706293706,8.391608391608392,18,720.6539440993788,317.7253243991947,2,9,Hazardous,Sweden
160,Product_160,CompanyA,2000,Appliances,53.333333333333336,24.444444444444443,22.22222222222222,31,188.07486884240478,254.2177203541724,6,6,Hazardous,Germany
161,Product_161,CompanyC,2002,Clothing,50.6578947368421,38.81578947368421,10.526315789473683,72,353.91467383325727,712.6637189439322,1,6,Hazardous,USA
162,Product_162,CompanyA,2021,Appliances,48.888888888888886,46.666666666666664,4.444444444444445,33,995.8413843900502,740.3961074782885,4,7,Hazardous,China
163,Product_163,CompanyA,2010,Electronics,8.426966292134832,40.44943820224719,51.12359550561798,16,862.5776235974021,155.79708993626255,8,2,Hazardous,China
164,Product_164,CompanyA,2020,Clothing,3.125,43.75,53.125,67,449.9883762556105,673.9530256738177,9,3,Hazardous,Sweden
165,Product_165,CompanyB,2004,Clothing,39.743589743589745,26.06837606837607,34.18803418803419,23,126.9669669416796,292.56018329021265,1,5,Hazardous,Sweden
166,Product_166,CompanyA,2021,Clothing,75.45454545454545,4.545454545454546,20.0,56,919.8152201953196,208.4363019619354,0,5,Hazardous,China
167,Product_167,CompanyC,2015,Electronics,34.523809523809526,26.190476190476193,39.285714285714285,70,584.2394084800166,235.71764651056748,1,2,Hazardous,Germany
168,Product_168,CompanyA,2012,Electronics,11.875,45.625,42.5,62,333.3504484591547,648.6275294321734,5,4,Recyclable,USA
169,Product_169,CompanyB,2009,Clothing,55.46218487394958,24.369747899159663,20.168067226890756,66,851.1586395476593,128.96753073823245,2,2,Recyclable,USA
170,Product_170,CompanyA,2021,Appliances,41.0,37.0,22.0,83,516.091458457968,162.38268114629778,7,6,Recyclable,Sweden
171,Product_171,CompanyA,2002,Appliances,67.0103092783505,24.742268041237114,8.24742268041237,94,450.42287732092274,920.8192848416966,7,10,Hazardous,USA
172,Product_172,CompanyB,2005,Clothing,30.357142857142854,41.517857142857146,28.125,7,198.36063772831963,774.4157965569469,1,3,Hazardous,USA
173,Product_173,CompanyA,2018,Electronics,18.666666666666668,18.666666666666668,62.66666666666667,82,531.8006840372628,990.2699962391497,8,9,Hazardous,Sweden
174,Product_174,CompanyB,2018,Electronics,60.75949367088608,7.59493670886076,31.645569620253166,31,371.9891347311796,603.8329581666595,1,10,Hazardous,Germany
175,Product_175,CompanyC,2017,Electronics,37.72727272727273,17.727272727272727,44.54545454545455,95,535.2954922193267,828.1961775298357,6,8,Recyclable,China
176,Product_176,CompanyC,2016,Clothing,57.49999999999999,18.125,24.375,83,345.3475808222863,523.7236265812817,2,10,Hazardous,China
177,Product_177,CompanyA,2017,Clothing,26.111111111111114,20.0,53.888888888888886,51,740.8006913537636,76.35791127627577,5,5,Hazardous,Germany
178,Product_178,CompanyA,2002,Electronics,51.29533678756477,2.072538860103627,46.63212435233161,66,668.1795191149938,518.1306941042088,9,9,Recyclable,USA
179,Product_179,CompanyA,2007,Clothing,15.517241379310345,41.37931034482759,43.103448275862064,7,892.7379547969266,564.0316473030185,3,7,Recyclable,Sweden
180,Product_180,CompanyA,2008,Appliances,47.58064516129033,36.29032258064516,16.129032258064516,92,106.39337148283737,56.00332667617437,7,5,Recyclable,Germany
181,Product_181,CompanyC,2000,Appliances,47.12643678160919,2.2988505747126435,50.57471264367817,57,411.79663217303766,444.5134953233035,7,6,Recyclable,China
182,Product_182,CompanyC,2003,Electronics,27.333333333333332,26.0,46.666666666666664,23,932.7422393766825,812.704927442963,1,2,Hazardous,China
183,Product_183,CompanyB,2014,Appliances,49.42528735632184,4.597701149425287,45.97701149425287,34,874.277397013541,514.3789721237674,9,7,Recyclable,China
